,identificatie,adres,locatie,status_id,status_omschrijving,vervaldatum,merk_id,merk_omschrijving,xmuurvlak,ymuurvlak,windrichting,bouwblok_code,hoogte_tov_nap,datum,peilmerknummer,geometrie,publiceerbaar
161,11389025,Kerkstraat 411/413,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,3.0,70.0,ZO,YF36,2.286,1999-06-01,,POINT (121808.4 486253.8),J
162,11389026,Herengracht 565A-D,(y = boven plint),1,Actueel,,17,Veelal gebruikt door 'de waal',28.0,7.0,Z,,3.9516,2007-12-01,,POINT (121563.7 486466.1),J
163,11389027,Nieuwe Keizersgracht 80/86,in de Weesperstraat,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,13.0,15.0,O,YL03,2.5079,2000-06-01,,POINT (122189.6 486448.7),J
164,11389029,Hortusplantsoen 30,(in beertje rechts van ingang),1,Actueel,,17,Veelal gebruikt door 'de waal',-16.0,19.0,NO,,0.8363,2007-12-01,,POINT (122310.5 486577.4),J
165,11389030,Reguliersgracht 30,,1,Actueel,,17,Veelal gebruikt door 'de waal',14.0,13.0,O,,1.0506,2007-12-01,,POINT (121520.9 486331.9),J
166,11389032,Rapenburgerstraat 165A-E,,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-384.0,8.0,NW,YG32,2.4267,2000-06-01,,POINT (122257.8 486839.3),J
167,11289000,,"Museum ""Van Loon"" Keizersgracht 672",1,Actueel,,2,Kleine ronde bout,3.0,37.0,N,YF31,1.5928,1984-04-18,,POINT (121378.3 486290.0),J
168,11289001,Keizersgracht 674A-G,"""Hollandse Koopmansbank"" (def. meting J 408)",1,Actueel,,2,Kleine ronde bout,54.0,85.0,N,YF31,1.9821,1984-04-18,,POINT (121388.5 486287.9),J
169,11289002,Passerdersstraat 5,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,8.0,32.0,NW,YJ86,0.7441,1999-06-01,,POINT (120585.8 486789.5),J
170,11289003,Elandsgracht 17,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,6.0,34.0,NW,YJ80,1.065,1999-06-01,,POINT (120568.6 486999.2),J
171,11289004,Elandsgracht 17,(rechter bouwmuur) zit kastje tegenaan 8-12-08 JvB,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-4.0,38.0,NW,YJ80,1.0182,1999-06-01,,POINT (120563.7 486996.5),J
172,11289007,Reguliersdwarsstraat 23,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-5.0,19.0,Z,YF02,1.0464,1999-06-01,,POINT (121140.0 486636.4),J
173,11289009,Vijzelstraat 20,(linker bouwmuur),3,Vervallen,2005-02-01,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,6.0,12.0,O,YF06,1.656,1999-06-01,,POINT (121325.9 486534.5),J
174,11289014,Keizersgracht 407,(linker bouwmuur),2,Niet te meten,2012-10-02,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,26.0,88.0,W,YE43,3.3563,1999-06-01,,POINT (120782.7 486739.7),J
175,11289015,Keizersgracht 407,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-28.0,153.0,W,YE43,2.4969,1999-06-01,,POINT (120784.6 486732.4),J
176,11289016,Lange Leidsedwarsstraat 8,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-16.0,27.0,NO,YK04,1.2147,1999-06-01,,POINT (120599.0 486530.3),J
177,11289017,Lange Leidsedwarsstraat 8,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,15.0,19.0,NO,YK04,1.1491,1999-06-01,,POINT (120602.1 486526.7),J
178,11289019,Kerkstraat 158,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-6.0,26.0,N,YF30,1.8594,1999-06-01,,POINT (121074.3 486271.6),J
179,11289020,Kerkstraat 158,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-5.0,26.0,N,YF30,1.7771,1999-06-01,,POINT (121080.5 486270.2),J
180,11289021,Keizersgracht 672,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,3.0,36.0,N,YF31,1.5941,1999-06-01,,POINT (121371.2 486290.4),J
181,11289022,Keizersgracht 672,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-28.0,107.0,N,YF31,2.2473,1999-06-01,,POINT (121356.7 486293.9),J
182,11289023,Passerdersstraat 5,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-5.0,16.0,NW,YJ86,0.6038,1999-06-01,,POINT (120582.6 486787.7),J
183,11289024,Vijzelstraat 20,(rechter bouwmuur),3,Vervallen,2005-02-01,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-8.0,41.0,O,YF06,1.694,1999-06-01,,POINT (121329.5 486551.7),J
184,11289028,Nieuwe Spiegelstraat 17,(in kolom),1,Actueel,,99,Onbekend,14.0,96.0,ZW,YF21,2.2596,1999-06-01,,POINT (121127.0 486422.5),J
185,11289029,Elandsgracht 39,(links in linker gevel; y = boven natuursteen),1,Actueel,,17,Veelal gebruikt door 'de waal',0.0,12.0,N,,0.7397,2007-12-01,,POINT (120532.0 486979.4),J
186,11289030,,Korte Leidsedwarsstraat 8 A t/m C,3,Vervallen,2008-10-06,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-50.0,10.0,,YK03,1.2054,2000-06-01,,POINT (120582.4 486485.4),J
187,11289031,Kleine Gartmanplantsoen 21,hoek Leidsekruisstraat,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,8.0,70.0,Z,YK07,1.4788,2000-06-01,,POINT (120735.7 486256.6),J
188,11289033,,Kerkstraat 209 A-D,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,50.0,10.0,Z,YF29,2.0529,2000-06-01,,POINT (121185.1 486256.8),J
189,11289034,Leidsegracht 46/48,,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,5.0,5.0,,YE44,1.1669,2000-06-01,,POINT (120706.3 486649.1),J
190,11289036,Singel 446,(kerk; y = boven plint),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-12.0,22.0,NO,,2.787,2007-12-01,,POINT (121018.6 486796.0),J
191,11380002,Herengracht 597,(x = natuursteen naast ingang Herengracht 597),1,Actueel,,1,Ronde bout of althans aan de bovenzijde ronde bout zonder opschrift of met opschrift anders dan NAP,37.0,52.0,Z,,1.4092,1972-01-01,11380002,POINT (121707.6 486509.5),J
192,11380054,"Waterlooplein ""Stopera"" links van ingang bij portiersloge",rechts van garagedeuren,1,Actueel,,0,Ronde bout met opschrift NAP,72.0,23.0,ZO,,1.3553,2000-11-17,11380054,POINT (121970.0 486739.9),J
193,11589000,Stadsdeelkantoor Zeeburg Cruquiuskade 5,Rechter pilaar voor de hoofdingang,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,750.0,5.0,O,,3.042,1992-08-11,,POINT (124200.0 486870.0),J
194,11589003,Von Zesenstraat 231/259,(x = uit portiek),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-29.0,83.0,Z,,1.531,1994-03-18,,POINT (123584.9 486377.2),J
195,11589004,Dapperstraat 151,,3,Vervallen,2016-02-01,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,21.0,76.0,W,,1.4762,1994-03-18,,POINT (123636.0 486366.5),J
196,11589005,Wagenaarstraat 503,,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-370.0,87.0,Z,,1.5417,1994-03-18,,POINT (123855.4 486319.0),J
197,11589006,Commelinstraat 27A,(x = vanaf portiek),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-11.0,31.0,Z,,1.0938,1995-02-01,,POINT (123521.5 486288.9),J
198,11589007,,Oostenburgergracht 73  (y plint natuursteen),1,Actueel,,16,Koperen bout,53.0,17.0,Z,YN29,2.6627,1983-03-16,,POINT (123406.2 486826.5),J
199,11589008,Celebesstraat 39A/42D,in de Javastraat (in betonnen kolom),1,Actueel,,99,Onbekend,6.0,17.0,N,,0.9487,1999-06-01,,POINT (123979.5 486258.4),J
