,meetboutidentificatie,adres,locatie,status_id,status_omschrijving,vervaldatum,merk_id,merk_omschrijving,xmuurvlak,ymuurvlak,windrichting,bouwblok_code,geometrie,publiceerbaar
2130,11081305,Kinkerstraat 390 hoek 2e Kostverlorenkade,(meterbaak),1,Actueel,,14,Inbusbout,-4.0,47.0,ZW,AD32,POINT (119122.7 486427.8),J
2131,11081306,2e Kostverlorenkade 123,,1,Actueel,,14,Inbusbout,14.0,84.0,W,AD32,POINT (119131.1 486445.7),J
2132,11081307,Tweede Kostverlorenkade 140,hoek Borgerstraat,1,Actueel,,14,Inbusbout,-12.0,18.0,W,AD41,POINT (119062.7 486319.6),J
2133,11081308,Tweede Kostverlorenkade 131,,1,Actueel,,14,Inbusbout,-153.0,19.0,W,AD41,POINT (119093.2 486375.6),J
2134,11081309,Kinkerstraat 371,in de Tweede Kostverlorenkade,1,Actueel,,14,Inbusbout,25.0,80.0,W,AD41,POINT (119113.5 486410.4),J
2135,11081310,Lootsstraat 4,hoek Kinkerstraat,3,Vervallen,2002-07-12,14,Inbusbout,-15.0,52.0,O,AD41,POINT (119143.7 486394.1),N
2136,11081311,Borgerstraat 244,hoek Lootsstraat,1,Actueel,,14,Inbusbout,810.0,29.0,Z,AD41,POINT (119155.7 486347.8),J
2137,11081312,Borgerstraat 258/260,,1,Actueel,,14,Inbusbout,0.0,48.0,Z,AD41,POINT (119116.0 486332.7),J
2138,11081313,Tweede Kostverlorenkade 142,in de Borgerstraat,1,Actueel,,14,Inbusbout,-10.0,24.0,N,AD42,POINT (119052.3 486293.2),J
2139,11081314,Borgerstraat 243,,1,Actueel,,14,Inbusbout,-229.0,24.0,N,AD42,POINT (119110.6 486315.6),J
2140,11081315,Lootsstraat 16,in de Borgerstraat,1,Actueel,,14,Inbusbout,14.0,36.0,O,AD42,POINT (119164.0 486337.1),J
2141,11081316,Jacob van Lennepstraat 326,,1,Actueel,,14,Inbusbout,-19.0,98.0,Z,AD42,POINT (119172.6 486287.4),J
2142,11081317,Jacob van Lennepstraat 340,,1,Actueel,,14,Inbusbout,-227.0,24.0,Z,AD42,POINT (119136.1 486274.4),J
2143,11081318,Jacob van Lennepstraat 360,,1,Actueel,,14,Inbusbout,-268.0,25.0,Z,AD42,POINT (119077.3 486252.6),J
2144,11081319,Jacob van Lennepkade 320/322,,1,Actueel,,14,Inbusbout,0.0,41.0,Z,AD46,POINT (119270.7 486255.5),J
2145,11081320,Lootsstraat 35,hoek Jacob van Lennepstraat,1,Actueel,,14,Inbusbout,16.0,56.0,W,AD46,POINT (119200.7 486281.8),J
2146,11081321,Jacob van Lennepstraat 297,,1,Actueel,,14,Inbusbout,6.0,91.0,N,AD46,POINT (119244.9 486300.2),J
2147,11081322,Jacob van Lennepstraat 281,,1,Actueel,,14,Inbusbout,8.0,84.0,N,AD46,POINT (119278.5 486313.2),J
2148,11081323,Jan Pieter Heijestraat 94A,in de Jacob van Lennepstraat,1,Actueel,,14,Inbusbout,12.0,20.0,N,AD46,POINT (119310.0 486325.2),J
2149,11081324,Lootsstraat 17,,1,Actueel,,14,Inbusbout,16.0,52.0,W,AD45,POINT (119177.7 486340.9),J
2150,11081325,Borgerstraat 203,,1,Actueel,,14,Inbusbout,12.0,71.0,N,AD45,POINT (119244.1 486367.7),J
2151,11081326,Jan Pieter Heijestraat 76,in de Borgerstraat,1,Actueel,,14,Inbusbout,23.0,14.0,N,AD45,POINT (119287.6 486384.6),J
2152,11081327,Jan Pieter Heijestraat 94,in de Jacob van Lennepstraat,1,Actueel,,14,Inbusbout,-19.0,30.0,Z,AD45,POINT (119306.8 486338.8),J
2153,11081328,Jacob van Lennepstraat 300,,1,Actueel,,14,Inbusbout,14.0,65.0,Z,AD45,POINT (119262.0 486320.8),J
2154,11081330,Lootsstraat 1,(ijz.pen),1,Actueel,,14,Inbusbout,15.0,53.0,W,AD44,POINT (119156.6 486395.4),J
2155,11081331,Kinkerstraat 333,,1,Actueel,,14,Inbusbout,15.0,39.0,N,AD44,POINT (119219.9 486423.0),J
2156,11081332,Kinkerstraat 315,(in de 2e zuil vanaf Jan Pieter Heijestraat),1,Actueel,,14,Inbusbout,0.0,12.0,N,AD44,POINT (119266.2 486440.9),J
2157,11081333,Jan Pieter Heijestraat 74 hoek Borgerstraat,,3,Vervallen,2012-04-26,14,Inbusbout,31.0,13.0,O,AD44,POINT (119284.5 486399.3),J
2158,11081334,Borgerstraat 208,,1,Actueel,,14,Inbusbout,-7.0,67.0,Z,AD44,POINT (119231.0 486376.5),J
2159,11081335,Borgerstraat 228 in de Lootsstraat,(ijz.pen),1,Actueel,,14,Inbusbout,-31.0,6.0,W,AD44,POINT (119172.4 486355.3),J
2160,11081336,Jacob van Lennepkade 163,VERVALLEN 2-7-2018!!!!!!,3,Vervallen,2018-07-02,14,Inbusbout,15.0,90.0,N,AE04,POINT (119404.7 486256.4),J
2161,11081337,Jacob van Lennepkade 145/147,,3,Vervallen,2006-03-01,14,Inbusbout,0.0,70.0,N,AE04,POINT (119442.2 486270.6),J
2162,11081338,Jacob van Lennepkade 133/135,,1,Actueel,,14,Inbusbout,0.0,82.0,N,AE04,POINT (119467.4 486280.7),J
2163,11081339,Jacob van Lennepstraat 325,,1,Actueel,,14,Inbusbout,-9.0,47.0,N,AD43,POINT (119128.3 486256.6),J
2164,11081340,Lootsstraat 34 hoek Jacob van Lennepstraat,,1,Actueel,,14,Inbusbout,0.0,9.0,NO,AD43,POINT (119187.7 486277.9),J
2165,11081341,Postjesweg 22,,1,Actueel,,14,Inbusbout,,,,BC23,POINT (118998.4 486466.9),J
2166,11081342,Postjesweg 10,,1,Actueel,,14,Inbusbout,,,,BC23,POINT (119037.7 486471.3),J
2167,11081343,Postjesweg 3,,1,Actueel,,14,Inbusbout,,,,BE35,POINT (118890.6 486410.6),J
2168,11081344,Postjesweg 11,(meterbaakje),1,Actueel,,14,Inbusbout,,,,BE35,POINT (118870.8 486420.9),J
2169,11081345,Postjesweg 59,,1,Actueel,,14,Inbusbout,,,,BE35,POINT (118782.6 486383.5),J
2170,11081346,Postjesweg 103,,1,Actueel,,14,Inbusbout,,,,BE35,POINT (118656.4 486381.9),J
2171,11081347,Postjesweg 126,,1,Actueel,,14,Inbusbout,,,,BE35,POINT (118643.3 486351.8),J
2172,11081348,Hoofdweg 185,,1,Actueel,,14,Inbusbout,,,,BE09,POINT (118606.0 486542.5),J
2173,11081349,Hoofdweg 149,,1,Actueel,,14,Inbusbout,,,,BE09,POINT (118607.3 486440.0),J
2174,11081350,Wenslauerstraat 40,(y = boven natuursteen),1,Actueel,,17,RVS-bout,49.0,11.0,Z,AD24,POINT (119380.5 486722.7),J
2175,11081351,Wenslauerstraat 40,(y = boven natuursteen),1,Actueel,,17,RVS-bout,225.0,10.0,Z,AD24,POINT (119387.2 486725.2),J
2176,11181020,Bellamystraat 31 hoek Ten Katestraat,,1,Actueel,,14,Inbusbout,10.0,30.0,Z,AD28,POINT (119551.1 486733.7),J
2177,11181021,Bellamystraat 12,,1,Actueel,,14,Inbusbout,4.0,82.0,Z,AD28,POINT (119576.8 486742.5),J
2178,11181022,Bellamystraat 2 hoek Bellamyplein,,1,Actueel,,14,Inbusbout,-24.0,75.0,Z,AD28,POINT (119602.1 486756.1),J
2179,11181023,Bellamyplein 32/34,,1,Actueel,,14,Inbusbout,0.0,83.0,O,AD28,POINT (119588.8 486791.1),J
2180,11181024,Bellamyplein 18 in de Jan Hanzenstraat,,1,Actueel,,14,Inbusbout,8.0,10.0,N,AD28,POINT (119569.9 486832.2),J
2181,11181025,Jan Hanzenstraat 20,,1,Actueel,,14,Inbusbout,20.0,73.0,Z,AD23,POINT (119551.1 486840.1),J
2182,11181026,Agatha Dekenstraat 52,(meterbaakje),1,Actueel,,14,Inbusbout,415.0,22.0,O,AD23,POINT (119577.2 486855.3),J
2183,11181027,Agatha Dekenstraat 40,,1,Actueel,,14,Inbusbout,10.0,27.0,O,AD23,POINT (119567.7 486882.1),J
2184,11181028,Agatha Dekenstraat 34 hoek Schimmelstraat,,1,Actueel,,14,Inbusbout,0.0,2.0,NO,AD23,POINT (119560.2 486904.4),J
2185,11181029,Agatha Dekenstraat 21,,1,Actueel,,14,Inbusbout,-17.0,67.0,W,AD11,POINT (119557.4 486952.2),J
2186,11181030,Agatha Dekenstraat 41/43,(meter baakje),1,Actueel,,14,Inbusbout,0.0,80.0,W,AD11,POINT (119571.0 486908.3),J
2187,11181031,Agatha Dekenstraat 57/59,(meter baakje),1,Actueel,,14,Inbusbout,0.0,67.0,W,AD11,POINT (119582.5 486874.1),J
2188,11181032,Bellamyplein 16,hoek Agatha Dekenstraat,1,Actueel,,14,Inbusbout,0.0,135.0,Z,AD11,POINT (119591.7 486849.6),J
2189,11181033,Bellamyplein 10,,1,Actueel,,14,Inbusbout,-14.0,65.0,Z,AD11,POINT (119614.3 486848.3),J
2190,11181034,Bellamyplein 2,,1,Actueel,,14,Inbusbout,-38.0,136.0,Z,AD11,POINT (119637.9 486847.2),J
2191,11181035,,Elisabeth Wolffstraat 84/86,1,Actueel,,14,Inbusbout,0.0,88.0,O,AD11,POINT (119626.1 486893.8),J
2192,11181036,,Elisabeth Wolffstraat 66/68,1,Actueel,,14,Inbusbout,0.0,98.0,O,AD11,POINT (119614.5 486932.3),J
